data;time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
2018-04-14;CRU;0.02675;0.0317;0.03495;0.03825;0.03745;0.04225;0.0432;0.04525;0.0461;0.04685;0.0506;0.05075;0.05325;0.0522;0.0571;0.06105;0.06115;0.06635;0.0741;0.0807;
2018-04-14;VIT;0.03475;0.04065;0.0424;0.0421;0.04305;0.0436;0.0467;0.0502;0.0485;0.0483;0.04925;0.0514;0.0519;0.0547;0.0554;0.05565;0.0569;0.05635;0.0636;0.0646;
2018-04-14;SAN;0.0483;0.05105;0.05355;0.04935;0.0523;0.05115;0.05045;0.0519;0.0482;0.0478;0.0516;0.05175;0.05015;0.05005;0.052;0.05005;0.0481;0.0496;0.0481;0.04455;
2018-04-14;AMG;0.0503;0.0501;0.05195;0.04845;0.05685;0.04875;0.04745;0.0506;0.0525;0.04975;0.0479;0.05165;0.0496;0.052;0.04775;0.0513;0.04795;0.0499;0.04795;0.0473;
2018-04-14;VAS;0.0519;0.05395;0.05095;0.0515;0.0511;0.04895;0.04925;0.046;0.0479;0.0508;0.04785;0.05145;0.0484;0.0516;0.0494;0.05035;0.0471;0.052;0.04895;0.0506;
2018-04-14;COR;0.05015;0.05285;0.04915;0.04985;0.04795;0.05085;0.0515;0.05395;0.05;0.05165;0.0494;0.05;0.0499;0.0465;0.04915;0.0482;0.05125;0.0491;0.0495;0.0491;
2018-04-14;INT;0.0516;0.0496;0.0508;0.04995;0.05015;0.048;0.04995;0.04905;0.0486;0.04915;0.0485;0.05075;0.0499;0.0504;0.0526;0.04835;0.0528;0.05195;0.04865;0.04925;
2018-04-14;ATP;0.0523;0.04905;0.0477;0.0513;0.04975;0.0496;0.04985;0.0501;0.0523;0.0509;0.049;0.0492;0.0498;0.0504;0.05175;0.0496;0.05125;0.0476;0.04835;0.0502;
2018-04-14;SAO;0.04885;0.04945;0.0493;0.05485;0.0484;0.0488;0.04985;0.04855;0.04755;0.0526;0.05025;0.04825;0.04895;0.05215;0.05125;0.04845;0.0517;0.0517;0.04905;0.05005;
2018-04-14;BOT;0.0522;0.0472;0.0537;0.05355;0.0503;0.04935;0.0498;0.04885;0.0521;0.0514;0.04995;0.04955;0.05105;0.0493;0.05165;0.0483;0.0471;0.0507;0.04785;0.0461;
2018-04-14;BAH;0.04985;0.05015;0.0511;0.0493;0.04915;0.05005;0.0496;0.04815;0.0519;0.04935;0.04835;0.0514;0.05185;0.0491;0.0532;0.0497;0.0507;0.04855;0.04785;0.0507;
2018-04-14;FLA;0.0496;0.054;0.05345;0.05005;0.05105;0.05295;0.0508;0.0477;0.0514;0.05;0.05165;0.04845;0.04875;0.05105;0.0478;0.0509;0.051;0.05035;0.0441;0.04495;
2018-04-14;PAR;0.0499;0.0497;0.04975;0.0496;0.05005;0.05015;0.04925;0.05075;0.04945;0.05035;0.05155;0.0499;0.0488;0.0548;0.0484;0.04825;0.04815;0.0496;0.05175;0.04985;
2018-04-14;CAM;0.04805;0.05055;0.04765;0.05195;0.04915;0.05005;0.0515;0.0496;0.04875;0.05265;0.05155;0.05195;0.04965;0.04885;0.04955;0.05035;0.05235;0.0479;0.04905;0.0489;
2018-04-14;CHA;0.0465;0.04855;0.04965;0.05005;0.04895;0.04865;0.0524;0.05;0.048;0.04865;0.05235;0.0492;0.05065;0.0504;0.0507;0.0548;0.04845;0.04755;0.05265;0.05185;
2018-04-14;CEA;0.0488;0.05065;0.05005;0.05115;0.0472;0.05285;0.0483;0.05045;0.04945;0.05105;0.0518;0.05;0.04995;0.0493;0.04755;0.04885;0.0527;0.052;0.04945;0.04845;
2018-04-14;FLU;0.0501;0.04865;0.05125;0.0487;0.05285;0.05245;0.0517;0.0517;0.05135;0.0503;0.05115;0.04935;0.04975;0.0481;0.04855;0.0496;0.0508;0.04635;0.0479;0.0494;
2018-04-14;PAL;0.0532;0.05045;0.04835;0.04975;0.05295;0.0489;0.05195;0.05015;0.053;0.0495;0.05015;0.0485;0.05085;0.04925;0.04735;0.0502;0.0498;0.0489;0.04905;0.04775;
2018-04-14;GRE;0.08795;0.07405;0.0648;0.0622;0.0612;0.06055;0.0559;0.0552;0.0513;0.0498;0.0463;0.04605;0.0444;0.0412;0.03905;0.03875;0.0322;0.03375;0.0302;0.02515;
2018-04-14;SPO;0.04895;0.04765;0.0495;0.0481;0.05015;0.0521;0.0506;0.05185;0.05165;0.04915;0.05085;0.05045;0.05245;0.04865;0.0498;0.0473;0.04855;0.0498;0.0519;0.05055;
