data;time;pos;chance
2017-05-23;FLA;1;6,329999999999999
2017-05-23;FLA;2;5,8549999999999995
2017-05-23;FLA;3;5,82
2017-05-23;FLA;4;5,57
2017-05-23;FLA;5;5,975
2017-05-23;FLA;6;5,29
2017-05-23;FLA;7;5,405
2017-05-23;FLA;8;5,7
2017-05-23;FLA;9;5,205
2017-05-23;FLA;10;5,04
2017-05-23;FLA;11;5,17
2017-05-23;FLA;12;4,885
2017-05-23;FLA;13;4,855
2017-05-23;FLA;14;4,735
2017-05-23;FLA;15;4,715
2017-05-23;FLA;16;4,445
2017-05-23;FLA;17;4,19
2017-05-23;FLA;18;4,0649999999999995
2017-05-23;FLA;19;3,5999999999999996
2017-05-23;FLA;20;3,15
2017-05-23;COR;1;6,444999999999999
2017-05-23;COR;2;6,03
2017-05-23;COR;3;5,63
2017-05-23;COR;4;5,655
2017-05-23;COR;5;5,390000000000001
2017-05-23;COR;6;5,445
2017-05-23;COR;7;5,54
2017-05-23;COR;8;5,33
2017-05-23;COR;9;5,065
2017-05-23;COR;10;5,015
2017-05-23;COR;11;4,99
2017-05-23;COR;12;4,92
2017-05-23;COR;13;4,6899999999999995
2017-05-23;COR;14;5,085
2017-05-23;COR;15;4,61
2017-05-23;COR;16;4,35
2017-05-23;COR;17;4,385
2017-05-23;COR;18;4,109999999999999
2017-05-23;COR;19;3,8850000000000002
2017-05-23;COR;20;3,4299999999999997
2017-05-23;FLU;1;10,14
2017-05-23;FLU;2;8,62
2017-05-23;FLU;3;7,76
2017-05-23;FLU;4;6,909999999999999
2017-05-23;FLU;5;6,77
2017-05-23;FLU;6;5,935
2017-05-23;FLU;7;5,52
2017-05-23;FLU;8;5,385
2017-05-23;FLU;9;5,035
2017-05-23;FLU;10;4,984999999999999
2017-05-23;FLU;11;4,3999999999999995
2017-05-23;FLU;12;4,345000000000001
2017-05-23;FLU;13;4,01
2017-05-23;FLU;14;3,8150000000000004
2017-05-23;FLU;15;3,35
2017-05-23;FLU;16;3,26
2017-05-23;FLU;17;2,8449999999999998
2017-05-23;FLU;18;2,75
2017-05-23;FLU;19;2,255
2017-05-23;FLU;20;1,91
2017-05-23;PON;1;5,055
2017-05-23;PON;2;5,140000000000001
2017-05-23;PON;3;5,16
2017-05-23;PON;4;5,2
2017-05-23;PON;5;5,325
2017-05-23;PON;6;5,1
2017-05-23;PON;7;4,91
2017-05-23;PON;8;5,28
2017-05-23;PON;9;5,11
2017-05-23;PON;10;5,445
2017-05-23;PON;11;5,220000000000001
2017-05-23;PON;12;5,04
2017-05-23;PON;13;4,97
2017-05-23;PON;14;4,755
2017-05-23;PON;15;4,8950000000000005
2017-05-23;PON;16;4,8149999999999995
2017-05-23;PON;17;4,71
2017-05-23;PON;18;4,81
2017-05-23;PON;19;4,625
2017-05-23;PON;20;4,4350000000000005
2017-05-23;CRU;1;6,5
2017-05-23;CRU;2;5,955
2017-05-23;CRU;3;5,5649999999999995
2017-05-23;CRU;4;6,03
2017-05-23;CRU;5;5,41
2017-05-23;CRU;6;5,645
2017-05-23;CRU;7;5,72
2017-05-23;CRU;8;5,41
2017-05-23;CRU;9;5,195
2017-05-23;CRU;10;5,1450000000000005
2017-05-23;CRU;11;5,07
2017-05-23;CRU;12;4,745
2017-05-23;CRU;13;4,9399999999999995
2017-05-23;CRU;14;4,6850000000000005
2017-05-23;CRU;15;4,47
2017-05-23;CRU;16;4,36
2017-05-23;CRU;17;4,4799999999999995
2017-05-23;CRU;18;3,775
2017-05-23;CRU;19;3,5900000000000003
2017-05-23;CRU;20;3,3099999999999996
2017-05-23;AVA;1;2,7199999999999998
2017-05-23;AVA;2;3,08
2017-05-23;AVA;3;3,435
2017-05-23;AVA;4;3,955
2017-05-23;AVA;5;4,035
2017-05-23;AVA;6;3,93
2017-05-23;AVA;7;4,605
2017-05-23;AVA;8;4,569999999999999
2017-05-23;AVA;9;4,73
2017-05-23;AVA;10;4,945
2017-05-23;AVA;11;4,945
2017-05-23;AVA;12;5,17
2017-05-23;AVA;13;5,220000000000001
2017-05-23;AVA;14;5,645
2017-05-23;AVA;15;6,005
2017-05-23;AVA;16;6,0249999999999995
2017-05-23;AVA;17;5,995
2017-05-23;AVA;18;6,69
2017-05-23;AVA;19;7,090000000000001
2017-05-23;AVA;20;7,21
2017-05-23;BAH;1;5,035
2017-05-23;BAH;2;5,319999999999999
2017-05-23;BAH;3;5,385
2017-05-23;BAH;4;4,915
2017-05-23;BAH;5;5,319999999999999
2017-05-23;BAH;6;5,415
2017-05-23;BAH;7;5,255
2017-05-23;BAH;8;5,0
2017-05-23;BAH;9;5,195
2017-05-23;BAH;10;5,065
2017-05-23;BAH;11;5,1049999999999995
2017-05-23;BAH;12;5,1450000000000005
2017-05-23;BAH;13;5,2299999999999995
2017-05-23;BAH;14;5,155
2017-05-23;BAH;15;4,784999999999999
2017-05-23;BAH;16;4,965
2017-05-23;BAH;17;4,625
2017-05-23;BAH;18;4,465
2017-05-23;BAH;19;4,44
2017-05-23;BAH;20;4,18
2017-05-23;PAL;1;5,015
2017-05-23;PAL;2;5,29
2017-05-23;PAL;3;5,345
2017-05-23;PAL;4;5,095000000000001
2017-05-23;PAL;5;5,065
2017-05-23;PAL;6;5,205
2017-05-23;PAL;7;5,015
2017-05-23;PAL;8;5,19
2017-05-23;PAL;9;5,255
2017-05-23;PAL;10;5,2
2017-05-23;PAL;11;5,085
2017-05-23;PAL;12;5,005
2017-05-23;PAL;13;5,005
2017-05-23;PAL;14;4,760000000000001
2017-05-23;PAL;15;4,74
2017-05-23;PAL;16;5,1450000000000005
2017-05-23;PAL;17;4,88
2017-05-23;PAL;18;4,45
2017-05-23;PAL;19;4,74
2017-05-23;PAL;20;4,515000000000001
2017-05-23;GRE;1;9,98
2017-05-23;GRE;2;8,64
2017-05-23;GRE;3;7,9
2017-05-23;GRE;4;6,93
